Key,English,Hindi,Gujarati
BTN_SCAN,Scan Marker,ekdZj LdSu djsa,માર્કર સ્કેન કરો
BTN_HOME,Home,gkse,હોમ
BTN_SETTINGS,Settings,lsfVaXl,સેટિંગ્સ
BTN_START,Start,'kq: djsa,શરૂ કરો
BTN_NEXT,Next,vxyk,આગળ
BTN_PREVIOUS,Previous,fiNyk,પાછળ
BTN_BACK,Back,okil,પાછા
BTN_EXIT,Exit,ckgj fudysa,બહાર નીકળો
BTN_PLAY,Play,"pyk,a",ચાલુ કરો
BTN_PAUSE,Pause,jksdsa,થોભાવો
BTN_RETRY,Retry,iqu% ç;kl djsa,ફરી પ્રયાસ કરો
BTN_SUBMIT,Submit,tek djsa,સબમિટ કરો
BTN_CONTINUE,Continue,tkjh j[ksa,આગળ વધો
WELCOME,Welcome to AR Experience,",vkj vuqHko esa vkidk Lokxr gS",એઆર અનુભવમાં આપનું સ્વાગત છે
SCAN_INSTRUCTION,Point the camera at the marker,dSejs dks ekdZj dh vksj djsa,કેમેરાને માર્કર તરફ રાખો
MARKER_FOUND,Marker Detected,ekdZj fey x;k,માર્કર મળી ગયો
LOADING_MODEL,Loading 3D Model...,3D e‚My yksM gks jgk gS---,3D મોડલ લોડ થઈ રહ્યું છે...
LESSON_START,Start Learning,lh[kuk 'kq: djsa,શીખવાનું શરૂ કરો
QUIZ_START,Start Quiz,ç'uksÙkjh 'kq: djsa,ક્વિઝ શરૂ કરો
CORRECT,Correct!,lgh!,સાચું!
WRONG,Wrong!,xyr!,ખોટું!
SCORE,Score,vad,સ્કોર
COMPLETED,Completed,iw.kZ,પૂર્ણ
LANGUAGE,Language,"Hkk""kk",ભાષા
ENGLISH,English,vaxzsth,અંગ્રેજી
HINDI,Hindi,fganh,હિન્દી
GUJARATI,Gujarati,xqtjkrh,ગુજરાતી
Subject_1,Biology,tho foKku,જીવવિજ્ઞાન
HEADER_TITLE,AR LEARN,AR LEARN,AR LEARN
HEADER_SUBTITLE,Learn • Explore • Understand,lh[ksa • [kkstsa • le>sa,શીખો • શોધો • સમજો
RECENTLY_VIEWED,Recently Viewed,gky esa ns[kk,તાજેતરમાં જોયેલું
HUMAN_HEART,Human Heart,ekuo ân;,માનવ હૃદય
TITLE_HUMAN_HEART,THE HUMAN HEART,ekuo ân;,માનવ હૃદય
SCAN_HINT,Align the page inside\nthe frame to scan.,dSejs dks ekdZj dh vksj djsa,સ્કેન કરવા પેજને\nફ્રેમમાં રાખો.
SUB_ANATOMY,⚕  ANATOMY\nHuman Body,⚕  'kjhjjpuk\nekuo 'kjhj,⚕  શરીરરચના\nમાનવ શરીર
SUB_BIOLOGY,⚛  BIOLOGY\nBeautiful,⚛  tho foKku\nlqanj,⚛  જીવવિજ્ઞાન\nસુંદર
SUB_CHEMISTRY,⚗  CHEMISTRY\nExperiment,⚗  jlk;u foKku\nç;ksx,⚗  રસાયણશાસ્ત્ર\nપ્રયોગ
SUB_PHYSICS,✹  PHYSICS\nWonders,✹  HkkSfrdh\nvewY;,✹  ભૌતિકશાસ્ત્ર\nઅદભૂત
SUB_HISTORY,▥  HISTORY\nCivilization,▥  bfrgkl\nlH;rk,▥  ઇતિહાસ\nસંસ્કૃતિ
SUB_CIVICS,♧  CIVICS\nCommunity,♧  ukxfjd 'kkL=k\nlekt,♧  નાગરિકશાસ્ત્ર\nસમાજ
SUB_GEOGRAPHY,◎  GEOGRAPHY\nOur World,◎  Hkwxksy\ngekjh nqfu;k,◎  ભૂગોળ\nઆપણું વિશ્વ
SUB_EVS,◒  EVS\nNature,◒  i;kZoj.k\nçd`fr,◒  પર્યાવરણ\nકુદરત
RECENT_HEART,♥\nHuman Heart,♥\nekuo ân;,♥\nમાનવ હૃદય
RECENT_SOLAR,☀\nThe Solar System,☀\nlkSjeaMy,☀\nસૂર્યમંડળ
RECENT_TAJ,♜\nTaj Mahal,♜\nrktegy,♜\nતાજમહેલ
TOOL_3D_VIEW,◇\n3D View,◇\n3D n`';,◇\n3D દૃશ્ય
TOOL_AUDIO,🔊\nAudio,🔊\nvkWfM;ks,🔊\nઑડિયો
TOOL_RESET,↻\nReset,↻\nçkjafHkd,↻\nરીસેટ
CTRL_MOVE,✥\nMove,✥\nfgyk,a,✥\nખસેડો
CTRL_ROTATE,↻\nRotate,↻\n?kqek,a,↻\nફેરવો
CTRL_ZOOM,⊕\nZoom,⊕\ntwe,⊕\nઝૂમ
CTRL_EXPLORE,◉\nExplore,◉\nvUos""k.k,◉\nશોધો
EXP_HEADER,◉  Explore,◉  vUos""k.k,◉  શોધો
EXP_XRAY,X-Ray\nSee inside,X-Ray\nvUnj ns[ksa,એક્સ-રે\nઅંદર જુઓ
EXP_INFO,Info\nLearn more,tkudkjh\nvf/d tkusa,માહિતી\nવધુ જાણો
EXP_PARTS,Parts\nView all parts,Hkkx\nlHkh Hkkx ns[ksa,ભાગો\nબધા ભાગો જુઓ
EXP_QUIZ,Quiz\nTest yourself,ç'uksÙkjh\nLo;a dks ijs[ksa,ક્વિઝ\nજાતે ચકાસો
PART_AORTA,Aorta,egk/euh,મહાધમની
PART_PULMONARY,Pulmonary Artery,iqQIqQlh; /euh,ફેફસાની ધમની
PART_LEFT_ATRIUM,Left Atrium,ck;ka vkfyan,ડાબું કર્ણક
PART_LEFT_VENTRICLE,Left Ventricle,ck;ka fuy;,ડાબું ક્ષેપક
